YEAR,MONTH,PROV_ID,PROV_N,MinRain,MaxRain,AvgRain
2018,3,11,สมุทรปราการ,10.48999977,87.06999969,39.68
2018,3,12,นนทบุรี,73.86000061,103.2399979,87.2
2018,3,13,ปทุมธานี,57.97000122,115.8799973,94.06
2018,3,14,พระนครศรีอยุธยา,33.02000046,115.6699982,67.52
2018,3,15,อ่างทอง,31.12000084,54.68999863,41.25
2018,3,16,ลพบุรี,23.89999962,37.72000122,28.38
2018,3,17,สิงห์บุรี,24.95000076,38.45000076,29.83
2018,3,18,ชัยนาท,10.89000034,27.89999962,21.29
2018,3,19,สระบุรี,23.11000061,73.13999939,35.48
2018,3,20,ชลบุรี,15.52999973,92.30999756,55.73
2018,3,21,ระยอง,60.88000107,159.6000061,107.11
2018,3,22,จันทบุรี,87.58999634,202.1000061,159.78
2018,3,23,ตราด,180.8099976,253,198.86
2018,3,24,ฉะเชิงเทรา,20.37000084,109.2300034,58.56
2018,3,25,ปราจีนบุรี,18.39999962,122.5400009,62.76
2018,3,26,นครนายก,21.84000015,78.01999664,46.79
2018,3,27,สระแก้ว,13.52999973,109.9100037,68.91
2018,3,30,นครราชสีมา,1.309999943,61.41999817,28.76
2018,3,31,บุรีรัมย์,32.27999878,70.30000305,50.92
2018,3,32,สุรินทร์,24.54000092,64.23000336,48.66
2018,3,33,ศรีสะเกษ,51.09000015,115.6100006,71.95
2018,3,34,อุบลราชธานี,72.41000366,139.9199982,92.17
2018,3,35,ยโสธร,48.58000183,87.33999634,64.42
2018,3,36,ชัยภูมิ,7.599999905,65.58000183,30.81
2018,3,37,อำนาจเจริญ,68.80000305,101.7300034,82.38
2018,3,38,บึงกาฬ,12.52000046,40.00999832,26.86
2018,3,39,หนองบัวลำภู,21.05999947,64.01999664,35.22
2018,3,40,ขอนแก่น,18.06999969,62.20999908,34.52
2018,3,41,อุดรธานี,1,54.45000076,16.96
2018,3,42,เลย,34.77999878,103.3600006,63.62
2018,3,43,หนองคาย,1.200000048,38.43000031,12.13
2018,3,44,มหาสารคาม,36.31999969,59.88999939,48.71
2018,3,45,ร้อยเอ็ด,31.84000015,70.43000031,50.72
2018,3,46,กาฬสินธุ์,23.11000061,49.65000153,36.05
2018,3,47,สกลนคร,12.11999989,49.61000061,27.9
